,CITY,REFERENCE TAX INCOME,UNEMPLOYMENT RATE,RSA BENEFICIARIES,Average net monthly salaries,Percentage of employees on permanent contracts,Number of companies,Average wealth tax per household n/a,CAF beneficiaries,Population
786,Ligueil,18772.0,15.27%,2.38%,1834.03,74.62%,118.0,nc,18.26%,2115.0
787,Marle,21000.0,29.72%,5.04%,2188.22,80.34%,111.0,nc,22.78%,2219.0
788,Mons-en-Barœul,21610.0,19.68%,4.69%,2357.24,82.91%,1076.0,nc,27.29%,21564.0
789,Rocroi,19863.0,19.45%,4.25%,2127.32,83.36%,133.0,nc,22.31%,2266.0
790,Sillé-le-Guillaume,19945.0,18.78%,3.51%,2102.43,81.24%,165.0,nc,20.91%,2195.0
791,Callac,18970.0,17.62%,3.31%,1983.80,79.08%,156.0,nc,15.88%,2233.0
792,Drocourt,20386.0,17.90%,3.06%,2143.73,83.35%,84.0,nc,21.47%,2935.0
793,Mortagne-du-Nord,18680.0,18.21%,5.68%,nc,78.11%,107.0,nc,25.13%,1584.0
794,Bourges,22976.0,16.21%,5.69%,2316.55,81.47%,4211.0,8613,28.31%,64362.0
795,Busigny,20351.0,23.78%,3.98%,2154.49,82.81%,93.0,nc,19.14%,2440.0
796,Rombas,21020.0,16.75%,3.06%,2134.85,85.36%,435.0,nc,19.71%,9864.0
797,Sainte-Marie-la-Mer,22347.0,20.92%,3.97%,2159.75,82.56%,448.0,nc,20.32%,4800.0
798,Venarey-les-Laumes,20034.0,15.09%,3.20%,2136.10,80.49%,157.0,nc,21.80%,2811.0
799,Cerizay,21890.0,15.82%,1.90%,1993.57,79.73%,231.0,nc,19.16%,4802.0
800,Dammarie-les-Lys,21411.0,15.94%,5.83%,2320.04,83.38%,1291.0,nc,26.12%,22318.0
801,Hérimoncourt,23317.0,22.29%,4.45%,2147.87,82.72%,122.0,nc,20.48%,3619.0
802,LesMées,21210.0,17.29%,2.78%,2159.60,76.86%,299.0,nc,19.75%,3766.0
803,Paulhan,20711.0,18.79%,3.55%,2138.59,83.87%,350.0,nc,19.77%,4024.0
804,Saujon,23466.0,18.05%,2.71%,2054.86,80.67%,612.0,nc,17.36%,7200.0
805,Avord,20470.0,11.28%,2.33%,1986.26,62.11%,77.0,nc,24.11%,2804.0
806,Mirebeau,20468.0,14.01%,4.53%,2086.20,79.72%,160.0,nc,24.43%,2147.0
807,Montcornet,17527.0,28.17%,5.97%,nc,75.07%,71.0,nc,22.75%,1291.0
808,LaSeyne-sur-Mer,22872.0,16.65%,4.48%,2234.75,84.80%,5905.0,7092,24.84%,62232.0
809,Arras,22026.0,20.22%,5.92%,2421.02,78.21%,3239.0,16585,29.14%,42337.0
810,Molières-sur-Cèze,14136.0,31.07%,8.10%,nc,74.21%,85.0,nc,26.57%,1209.0
811,Saint-Rambert-en-Bugey,19044.0,15.30%,3.08%,2112.06,78.44%,162.0,nc,22.09%,2172.0
812,Bonneuil-sur-Marne,21334.0,18.21%,4.12%,2308.18,83.23%,1409.0,nc,22.47%,18424.0
813,Millau,22602.0,13.72%,3.11%,2122.37,83.85%,1740.0,nc,24.28%,21482.0
814,Pau,23024.0,18.54%,5.03%,2418.57,79.65%,7158.0,7374,33.13%,75665.0
815,Tours,23018.0,17.91%,4.34%,2395.70,76.90%,10673.0,8207,34.85%,137850.0
816,Arcis-sur-Aube,20928.0,17.84%,3.04%,2093.66,81.59%,200.0,nc,19.75%,2767.0
817,Metz,23327.0,17.24%,4.42%,2291.81,80.69%,10316.0,9727,28.77%,120211.0
818,Terre-de-Haut,15313.0,18.52%,9.43%,nc,73.77%,261.0,nc,26.54%,1513.0
819,Tonnay-Charente,22209.0,16.31%,2.72%,2105.96,83.98%,524.0,nc,20.94%,8142.0
820,Villeneuve-sur-Yonne,21327.0,15.78%,4.19%,2198.35,82.52%,350.0,nc,22.02%,5148.0
821,Bayeux,23123.0,17.15%,3.07%,2243.66,80.27%,1089.0,nc,26.75%,12640.0
822,Castres,23339.0,17.21%,4.20%,2311.43,78.95%,3241.0,nc,23.97%,42394.0
823,Coudekerque-Branche,22137.0,17.13%,3.62%,2240.72,83.31%,764.0,nc,21.59%,20708.0
824,Courrières,21344.0,16.56%,4.21%,2269.30,83.39%,515.0,nc,22.65%,10360.0
825,Hérin,21221.0,15.89%,3.75%,2169.49,83.50%,120.0,nc,20.97%,4125.0
826,Montmoreau,20350.0,16.96%,2.43%,1989.27,81.95%,145.0,nc,19.21%,2517.0
827,Persan,19360.0,16.17%,3.63%,2166.83,87.50%,825.0,nc,23%,14029.0
828,Saint-Benoît-de-Carmaux,17916.0,18.72%,3.35%,1908.34,86.93%,65.0,nc,22.29%,2058.0
829,Fresnay-sur-Sarthe,20714.0,15.17%,3.22%,2076.07,82.31%,161.0,nc,20.25%,2871.0
830,Glageon,18206.0,19.97%,5.29%,nc,83.77%,51.0,nc,21.68%,1751.0
831,Morcenx-la-Nouvelle,20962.0,15.24%,2.79%,2128.08,81.69%,266.0,nc,18.42%,4976.0
832,Billère,21538.0,14.23%,6.12%,2231.82,84.53%,925.0,nc,29.01%,13229.0
833,Gaillac,21418.0,15.75%,3.26%,2254.97,82.21%,1352.0,nc,22.01%,15245.0
834,Reims,23160.0,18.79%,4.85%,2382.07,79.66%,12828.0,9311,31.87%,180318.0
835,Salies-du-Salat,18422.0,17.24%,3.97%,nc,79.43%,155.0,nc,30.36%,1755.0
836,Coulounieix-Chamiers,23525.0,16.98%,5.45%,2180.53,83.34%,473.0,nc,23.44%,7316.0
837,Feuquières,18726.0,21.92%,4.72%,nc,78.01%,65.0,nc,24.13%,1360.0
838,Lavardac,20784.0,17.67%,3.24%,2034.21,77.48%,155.0,nc,16.88%,2278.0
839,Saintes-Maries-de-la-Mer,23372.0,23.56%,3.77%,2001,77.94%,580.0,nc,25.38%,2123.0
840,Bazas,21207.0,16.13%,3.29%,2170.34,81.99%,501.0,nc,20.82%,4806.0
841,Fismes,20518.0,14.53%,2.60%,2125.17,83.79%,359.0,nc,22.14%,5721.0
842,Gisors,20843.0,17.81%,3.87%,2290.84,84.39%,880.0,nc,24.29%,11863.0
843,Rue,21446.0,16.11%,2.22%,1984.75,79.70%,217.0,nc,19.13%,3115.0
844,San-Nicolao,18531.0,20.97%,4.23%,2167.55,81.34%,335.0,nc,24.84%,2037.0
845,Toulon,22787.0,15.82%,4.85%,2244.97,83.71%,14625.0,9192,24.89%,179659.0
846,Beauvois-en-Cambrésis,20290.0,22.67%,3.57%,nc,78.80%,135.0,nc,20.16%,1970.0
847,LaRiche,21814.0,14.22%,4.14%,2312.38,79%,554.0,nc,30.25%,10372.0
848,LeMans,23347.0,18.64%,4.91%,2375.74,79.72%,9353.0,8699,27.97%,145155.0
849,Meaux,21074.0,14.94%,4.44%,2270.31,84.93%,4346.0,8926,25.64%,55709.0
850,Paray-le-Monial,22039.0,13.93%,2.36%,2108.67,82.31%,664.0,nc,22.20%,9218.0
851,Prunelli-di-Fiumorbo,21167.0,14.86%,2.46%,2034.70,81.47%,442.0,nc,20.15%,3719.0
852,Draguignan,24220.0,16.05%,4.20%,2172.85,83.09%,3756.0,9605,22.50%,39434.0
853,Saint-Juéry,21785.0,14.02%,3.55%,2062.73,86.07%,415.0,nc,23.09%,6627.0
854,Alzonne,18177.0,20.81%,4.20%,nc,80%,87.0,nc,20.94%,1592.0
855,Casseneuil,20709.0,18.45%,2.83%,2090.65,78.11%,139.0,nc,17.38%,2402.0
856,Foug,20597.0,18.08%,3.56%,2114.56,84.50%,105.0,nc,20.80%,2619.0
857,Aulnay-sous-Bois,22099.0,19%,5.17%,2291.74,84.55%,6914.0,9565,22.33%,86485.0
858,Dole,22731.0,15.88%,3.72%,2308.27,80.47%,1827.0,nc,25.35%,23611.0
859,Gennevilliers,19906.0,19.30%,4.37%,2385.94,84.80%,4215.0,nc,24.88%,49880.0
860,Marseille-en-Beauvaisis,18145.0,20.90%,3.88%,nc,79.67%,61.0,nc,23.28%,1469.0
861,Valence,23718.0,17.16%,4.32%,2302.94,78.42%,6561.0,11037,28.52%,64431.0
862,Beuvry,21518.0,16.06%,3.95%,2226.20,84.61%,437.0,nc,22.92%,9164.0
863,Châtillon-sur-Indre,19071.0,14.75%,2.39%,1971.38,80.83%,144.0,nc,18.45%,2326.0
864,Marquise,21675.0,17.18%,2.71%,2176.28,81.25%,325.0,nc,20.37%,5072.0
865,Revigny-sur-Ornain,21872.0,21.26%,2.74%,2126.66,79.46%,169.0,nc,19.21%,2794.0
866,Richelieu,18454.0,21.26%,3.79%,nc,77.47%,119.0,nc,19.82%,1653.0
867,Crèvecœur-le-Grand,20274.0,15.50%,2.72%,2182.58,79.84%,159.0,nc,20.25%,3472.0
868,LaFlèche,23221.0,15.18%,2.65%,2167.58,80.16%,804.0,nc,20.37%,15078.0
869,Sars-Poteries,19432.0,19.94%,5.35%,nc,79.78%,65.0,nc,24.15%,1432.0
870,Sisteron,21717.0,15.98%,3.05%,2265.66,77.50%,709.0,nc,20.94%,7669.0
871,Étreux,18464.0,24.12%,3.91%,nc,78.57%,42.0,nc,19.22%,1454.0
872,Grand-Fort-Philippe,21107.0,20%,3.70%,2346.61,81.02%,108.0,nc,20.70%,5054.0
873,Lapalisse,19949.0,14.16%,2.90%,1987.28,84.06%,230.0,nc,19.32%,3137.0
874,Ribemont,21167.0,20.79%,4.04%,nc,79.58%,90.0,nc,20.80%,1914.0
875,Bassens,21614.0,16.26%,2.95%,2217.48,82.87%,525.0,nc,22.26%,7425.0
876,Épernay,23038.0,17%,3.80%,2300.16,81.48%,1545.0,nc,23.56%,22362.0
877,Fontaine,21686.0,14.97%,3.08%,2309.04,80.31%,1627.0,nc,23.20%,23049.0
878,Harbonnières,17505.0,18.73%,3.11%,nc,81.84%,49.0,nc,26.04%,1642.0
879,Issoire,23279.0,14.99%,3.21%,2235.89,78.46%,1358.0,nc,24.38%,15297.0
880,Matha,20182.0,15.36%,3.38%,2128.38,76.72%,196.0,nc,20.68%,2178.0
881,Montmorillon,21889.0,13.54%,3.24%,2132.63,81.42%,406.0,nc,19.43%,5914.0
882,Paimbœuf,20637.0,17.21%,2.89%,2221.39,79.10%,133.0,nc,24.21%,3008.0
883,Saint-Paul-lès-Dax,23190.0,15.94%,2.81%,2174.46,82.05%,960.0,nc,20.90%,14126.0
884,Bouligny,19605.0,17.21%,3.29%,2049.86,82.35%,81.0,nc,15.52%,2448.0
885,LaRoche-sur-Yon,24459.0,15.80%,2.97%,2213.01,79%,4054.0,10329,28.41%,55213.0
886,Mirepoix,23446.0,17.22%,5.42%,2135.40,80.45%,393.0,nc,24.23%,3114.0
887,Rieux-Minervois,18670.0,19.41%,4.15%,nc,77.43%,153.0,nc,17.47%,1937.0
888,Bessan,20963.0,20.05%,2.89%,2159.02,84.62%,406.0,nc,19.13%,5365.0
889,Cergy,21228.0,16.34%,4.81%,2440.24,82.11%,5548.0,nc,30.29%,67790.0
890,Charlieu,20170.0,13.53%,2.24%,2102.67,80.70%,392.0,nc,25.38%,3714.0
891,Étampes,21718.0,16.21%,3.29%,2285.07,83.28%,1758.0,nc,23.11%,26251.0
892,LeFrançois,21379.0,24.16%,11.30%,2522.88,82.16%,1745.0,nc,30.39%,16082.0
893,Pargny-sur-Saulx,18030.0,18.62%,3.56%,nc,80.94%,78.0,nc,20.36%,1723.0
894,Saint-Chamond,22229.0,15.59%,3.23%,2267.79,82.56%,2221.0,nc,23.45%,35309.0
895,Thizy-les-Bourgs,21820.0,14.78%,2.16%,2065.10,82.62%,370.0,nc,19.80%,5944.0
896,Bertry,21373.0,18.69%,3.54%,2087.10,82.54%,88.0,nc,18.95%,2158.0
897,Pont-Saint-Esprit,21793.0,19.13%,4.84%,2366.42,81.91%,799.0,nc,22.66%,10482.0
898,Saint-Cyprien,24518.0,25.02%,3.97%,2249.51,79.25%,1122.0,nc,20.01%,11048.0
899,Boën-sur-Lignon,19958.0,14.51%,2.81%,2107.03,82.54%,274.0,nc,23.34%,3025.0
900,Neuf-Mesnil,19622.0,22.68%,5.21%,nc,78.62%,41.0,nc,23.14%,1316.0
901,Nilvange,19302.0,13.01%,5.12%,2076.69,86.41%,198.0,nc,19.21%,4430.0
902,Saint-Thibéry,20347.0,18.57%,3.31%,2094.50,84.84%,291.0,nc,20.99%,2875.0
903,Wizernes,21800.0,17.71%,2.98%,2118.08,83.39%,153.0,nc,20.46%,3308.0
904,Bayonne,22640.0,12.95%,3.33%,2260.68,79.31%,6101.0,8532,28.17%,52006.0
905,Calvi,24179.0,15.45%,2.33%,2036.44,50.53%,1081.0,nc,19.46%,5766.0
906,HautsdeBienne,25577.0,19.80%,2.59%,1962.22,82.28%,318.0,nc,21.39%,5226.0
907,Saint-Germain-des-Fossés,20011.0,13.24%,3.52%,2134.77,83.26%,189.0,nc,20.45%,3653.0
908,Sainte-Florine,20638.0,14.26%,2.80%,2127.60,82.18%,138.0,nc,20.32%,3226.0
909,Toucy,20706.0,14.73%,3.46%,2137.91,79.75%,214.0,nc,21.88%,2589.0
910,Labégude,18219.0,22.57%,4.54%,nc,80.23%,101.0,nc,27.03%,1359.0
911,Villers-Saint-Paul,22042.0,21%,4%,2291.44,82.65%,256.0,nc,20.75%,6442.0
912,Beaumont-de-Lomagne,20111.0,14.36%,2.92%,2132.99,82.86%,309.0,nc,20.38%,3778.0
913,Petit-Couronne,22775.0,17.01%,3.71%,2266.09,81.91%,392.0,nc,22.40%,8732.0
914,Propriano,21126.0,17.91%,2.43%,2056.26,84.17%,702.0,nc,21.30%,3705.0
915,Saint-Junien,22321.0,15.54%,3.31%,2220.35,82.65%,797.0,nc,21.27%,11295.0
916,Seurre,20523.0,18.24%,2.77%,2111.44,81.91%,164.0,nc,22.08%,2313.0
917,Villepinte,21532.0,19.08%,4.27%,2272.35,86.04%,2922.0,nc,21.28%,38204.0
918,Cheny,20776.0,18.05%,3.66%,2111.88,85.11%,66.0,nc,21.68%,2287.0
919,LaPorteduDer,22451.0,17.06%,2.63%,2009.68,78.32%,146.0,nc,20.70%,2225.0
920,Neuvic,20327.0,15.53%,2.64%,2066.28,82.39%,202.0,nc,16.81%,3618.0
921,Noyers-sur-Cher,21210.0,14.52%,3.85%,2074.51,78.73%,203.0,nc,16.74%,2708.0
922,Villeneuve-la-Garenne,20839.0,18.54%,4.02%,2332.57,84.86%,2003.0,nc,22.99%,24592.0
923,Corte,21536.0,12.69%,1.70%,2084.64,79.30%,719.0,nc,42.02%,7549.0
924,Vermelles,21479.0,17.60%,2.42%,2137.90,83.61%,227.0,nc,20.30%,4767.0
925,Arc-lès-Gray,20611.0,15.92%,2.49%,2072.53,80.93%,165.0,nc,19.54%,2492.0
926,Aubin,20090.0,16.20%,2.62%,2001.79,85%,178.0,nc,17.31%,3640.0
927,Chaulnes,20513.0,19.78%,3.88%,nc,80.03%,153.0,nc,20.44%,1997.0
928,LaFerté-Bernard,25024.0,16.37%,3.14%,2171.56,78.94%,534.0,nc,22.95%,8863.0
929,Thaon-les-Vosges,22088.0,15.42%,4.08%,2245.67,83.86%,481.0,nc,23.52%,8583.0
930,Annequin,20869.0,18.63%,3.12%,2149.06,81.32%,99.0,nc,21.07%,2143.0
931,Buzançais,20336.0,13.67%,2.06%,1961.74,84.58%,210.0,nc,19.38%,4507.0
932,Floirac,21616.0,14.66%,4.25%,2294.03,84.03%,1733.0,nc,25.28%,18013.0
933,Guémené-Penfao,20764.0,13.86%,2.63%,2132.40,82.01%,291.0,nc,18.42%,5239.0
934,Joué-lès-Tours,23367.0,16.67%,3.60%,2307.94,81.78%,1937.0,nc,24.15%,38750.0
935,Cappelle-la-Grande,22250.0,16.63%,3.46%,2294.19,82.44%,225.0,nc,21.86%,7953.0
936,LaMure,20141.0,13.49%,2.81%,2170.31,82.88%,604.0,nc,23.61%,4899.0
937,Marans,22117.0,14.59%,2.40%,2118.21,79.83%,361.0,nc,20.33%,4512.0
938,Albertville,22095.0,14.75%,2.44%,2241.27,80.07%,1811.0,nc,21.68%,19830.0
939,Aumale,20281.0,16.10%,4.05%,nc,75.59%,218.0,nc,21.68%,1963.0
940,Fleury-sur-Andelle,19658.0,16.67%,2.86%,nc,77.65%,102.0,nc,23.60%,1826.0
941,Montignac-Lascaux,21519.0,15.57%,4.20%,2137.56,80.96%,369.0,nc,20.91%,2757.0
942,Pontorson,20108.0,13.28%,1.85%,2029.59,80.98%,283.0,nc,18.99%,4352.0
943,Port-Sainte-Marie,19167.0,19.44%,3.81%,nc,69.22%,116.0,nc,16.80%,1844.0
944,Saint-Florent-sur-Auzonnet,16405.0,32.94%,7.15%,nc,79.32%,70.0,nc,23.06%,1169.0
945,TourouvreauPerche,20769.0,15.58%,2.75%,2110.55,81.55%,189.0,nc,18.49%,3069.0
946,Vireux-Molhain,19096.0,20.15%,5.14%,nc,79.33%,108.0,nc,20.97%,1465.0
947,Bagnères-de-Luchon,20931.0,12.49%,3.35%,2046.16,72.02%,409.0,nc,25.14%,2222.0
948,Courtenay,21571.0,18.39%,4.16%,2195.76,83.53%,264.0,nc,19.56%,3848.0
949,LeMuy,22697.0,17.69%,3.73%,2222.78,83.63%,1141.0,nc,20.29%,9468.0
950,Lencloître,21011.0,15.22%,2.86%,2072.08,82.15%,121.0,nc,18.90%,2474.0
951,Nangis,20825.0,16.44%,3.62%,2241.88,85.51%,515.0,nc,21.81%,8904.0
952,Auray,23929.0,15.63%,3.22%,2253.68,79.69%,1453.0,nc,24.42%,14155.0
953,Guebwiller,23340.0,17.17%,2.85%,2211.49,82.76%,785.0,nc,22.47%,10988.0
954,Plancoët,20784.0,13.89%,2.13%,1985.51,78.08%,210.0,nc,17.89%,3018.0
955,Saint-Martin-d'Hères,22231.0,14.83%,2.67%,2352.17,78.17%,2393.0,nc,31.43%,38188.0
956,Saulieu,20731.0,14.15%,3.06%,2022.65,82.63%,231.0,nc,21.94%,2346.0
957,Chasseneuil-sur-Bonnieure,19558.0,12.10%,2.87%,2027.02,83.75%,227.0,nc,21.32%,3100.0
958,Coulommiers,21236.0,14.69%,3.55%,2203.79,86.22%,1183.0,nc,24.46%,14953.0
959,Granville,24330.0,17.07%,2.62%,2223.38,78.07%,1201.0,nc,23.90%,12558.0
960,Leforest,21501.0,15.09%,3.30%,2207.92,84.45%,287.0,nc,21.54%,7236.0
961,Blendecques,22379.0,18.67%,2.63%,2134.03,83.24%,390.0,nc,19.23%,4926.0
962,Capendu,18192.0,17.46%,4.29%,nc,79.90%,100.0,nc,23.33%,1473.0
963,Cazères,22254.0,16.77%,4.16%,2229.09,82.92%,468.0,nc,25.83%,4753.0
964,Nérac,22279.0,16.04%,2.18%,2142.99,76.65%,602.0,nc,17.22%,6854.0
965,Saint-Pourçain-sur-Sioule,20828.0,16.18%,3.30%,2246.80,83.09%,409.0,nc,21.87%,5100.0
966,LaVille-Dieu-du-Temple,21117.0,15.72%,2.03%,1964.90,82.35%,188.0,nc,18.36%,3140.0
967,Méru,22107.0,18.09%,3.34%,2319.84,82.63%,683.0,nc,21.57%,14354.0
968,Peyrehorade,21269.0,15.23%,2.70%,2149.11,81.60%,337.0,nc,21.51%,3637.0
969,Aulnat,21468.0,13.54%,2.48%,2065.26,84.24%,180.0,nc,22.04%,4103.0
970,Eppeville,20523.0,22.73%,4.13%,nc,81.26%,78.0,nc,18.89%,1766.0
971,Hazebrouck,23602.0,14%,2.74%,2168.10,81.84%,1179.0,nc,21.30%,21464.0
972,Isigny-sur-Mer,19940.0,14.19%,2.32%,2079.82,81.02%,192.0,nc,16.83%,3590.0
973,Nègrepelisse,22750.0,14.75%,2.46%,2101.22,82.30%,363.0,nc,19.97%,5740.0
974,Vendôme,23017.0,17.16%,3.59%,2379.72,77.78%,1089.0,nc,23.89%,15680.0
975,Montebourg,17473.0,12.42%,1.90%,1897.73,79.92%,128.0,nc,26.64%,2051.0
976,Rouen,23614.0,18.04%,5.08%,2503.12,75.43%,11856.0,8300,36.09%,114187.0
977,Belleu,20764.0,18.57%,2.68%,2120.18,86.59%,129.0,nc,20.82%,3762.0
978,Courpière,21259.0,14.67%,3.65%,2191.92,82.65%,329.0,nc,22.80%,4005.0
979,LaCôte-Saint-André,21741.0,14.64%,2.62%,2215.95,77.54%,529.0,nc,23.28%,4817.0
980,Saint-Jean-de-la-Ruelle,22192.0,13.04%,3.22%,2185.42,84.02%,818.0,nc,22.40%,16570.0
981,Uzès,23257.0,18.45%,4.92%,2368.02,78.99%,1247.0,nc,24.74%,8390.0
982,Avranches,23621.0,13.97%,3.92%,2249.13,80.57%,877.0,nc,26.63%,10277.0
983,Cirey-sur-Vezouze,17035.0,21.43%,5.36%,nc,84.38%,88.0,nc,21.93%,1600.0
984,Ombréed'Anjou,21036.0,14.71%,1.51%,2045.68,80.48%,416.0,nc,16.84%,8908.0
985,Samer,21644.0,15.02%,2.37%,2084.66,84.49%,218.0,nc,20.99%,4656.0
986,Éleu-dit-Leauwette,20829.0,15.68%,3.71%,2125.79,85.32%,121.0,nc,21.60%,2844.0
987,Gauchy,21103.0,15.64%,3.34%,2185.18,85.22%,192.0,nc,20.35%,5216.0
988,LeLude,21436.0,14.73%,2.30%,2027.66,79.91%,236.0,nc,15.81%,4100.0
989,Mondeville,21981.0,13.52%,3.02%,2163.27,84.35%,1004.0,nc,22.79%,10054.0
990,Moûtiers,22478.0,12.79%,3.63%,2154.39,67.36%,535.0,nc,25.27%,3467.0
991,Remoulins,20680.0,19.14%,3.94%,2119.86,84.97%,311.0,nc,26.86%,2255.0
992,Saint-Aubin-lès-Elbeuf,21964.0,16.90%,3.43%,2323.98,81.37%,387.0,nc,20.91%,8428.0
993,Saint-Nazaire,23850.0,16.36%,4.14%,2346.47,78.93%,4596.0,10495,25.45%,71887.0
994,Macouba,11151.0,30.07%,9.64%,nc,78.41%,43.0,nc,27.34%,1034.0
995,Sainte-Luce,22142.0,17.71%,7.97%,2397.35,82.81%,1156.0,nc,26.96%,9425.0
996,Cosne-Cours-sur-Loire,22502.0,15.21%,3.94%,2216.84,84.40%,749.0,nc,21.97%,9415.0
997,Saint-Astier,21849.0,12.61%,3.12%,2138.39,82.84%,340.0,nc,21.17%,5340.0
998,Bourgoin-Jallieu,22403.0,16.45%,3.42%,2363.92,82%,2843.0,nc,24.13%,29389.0
999,Lézan,20234.0,23.60%,3.92%,nc,79.40%,114.0,nc,21.07%,1535.0
1000,Lille,23175.0,18.87%,5.80%,2547.97,76.48%,25118.0,9601,38.87%,236234.0
1001,Montmirail,20908.0,14.13%,3.94%,2153.52,83.54%,232.0,nc,19.37%,3561.0
1002,Sarre-Union,21653.0,19.18%,3.86%,2226.90,78.84%,219.0,nc,19.59%,2791.0
1003,Forges-les-Eaux,20206.0,17.23%,2.94%,2196.02,84.50%,273.0,nc,21.61%,3750.0
1004,Ronchamp,19947.0,19.27%,2.80%,2181.51,82.69%,182.0,nc,19.23%,2747.0
1005,Royan,27300.0,19.08%,4.05%,2188.94,79.46%,2325.0,nc,20.74%,18638.0
1006,Aire-sur-la-Lys,22527.0,15.55%,3.68%,2256.34,83.69%,598.0,nc,23.36%,9610.0
1007,Auboué,18965.0,13.77%,3.77%,2089.21,85.84%,119.0,nc,20.25%,2669.0
1008,Bavay,22460.0,18.52%,4.13%,2156.63,84.17%,223.0,nc,21.20%,3248.0
1009,Canet-en-Roussillon,24393.0,22.72%,5.45%,2341.23,82.37%,1499.0,nc,25.18%,12653.0
1010,Gacé,19447.0,14.20%,3.86%,nc,76.81%,121.0,nc,21.67%,1796.0
1011,Givet,20469.0,21.34%,5.20%,2430.65,83.74%,434.0,nc,23.03%,6343.0
1012,L'Isle-en-Dodon,17887.0,16.42%,4.79%,nc,80.98%,181.0,nc,22.48%,1636.0
1013,Montauban,24394.0,15.16%,3.91%,2299.24,81.88%,5965.0,7800,24.26%,61677.0
1014,Saint-Jacques-de-la-Lande,23066.0,14.29%,2.70%,2244.24,80.93%,910.0,nc,26.41%,13955.0
1015,Vaucouleurs,19762.0,20.51%,4.42%,nc,84.98%,96.0,nc,22.46%,1929.0
1016,Bousies,21154.0,19.23%,3.39%,nc,78.07%,71.0,nc,19.09%,1766.0
1017,Brive-la-Gaillarde,23773.0,15.09%,2.57%,2232.72,79.18%,4087.0,14857,24.90%,45910.0
1018,Château-Arnoux-Saint-Auban,20604.0,18.12%,2.87%,2222.16,84.22%,391.0,nc,19.93%,5063.0
1019,Châtenois,20716.0,21.07%,3.84%,nc,80.80%,131.0,nc,21.86%,1719.0
1020,Chinon,22458.0,14.65%,4.23%,2341.64,79.60%,644.0,nc,24.45%,8063.0
1021,Équihen-Plage,21702.0,15.95%,3.37%,2132.89,84.63%,73.0,nc,21.43%,2624.0
1022,Hayange,21740.0,15.74%,3.51%,2146.15,86.97%,728.0,nc,18.19%,15994.0
1023,Pavilly,19282.0,12.29%,9.49%,2290.58,84.39%,490.0,nc,29.82%,6164.0
1024,Pont-de-Chéruy,20037.0,11.37%,2.18%,2125.08,82.65%,374.0,nc,22.97%,6028.0
1025,Pont-Évêque,21713.0,15.94%,2.82%,2246.83,81.86%,443.0,nc,23.87%,5329.0
1026,Saint-Martin-Boulogne,24455.0,16.49%,4%,2176.30,84.43%,726.0,nc,22.14%,11165.0
1027,Salernes,22548.0,16.17%,5.15%,2182.51,83.80%,547.0,nc,23.55%,3771.0
1028,Ault,20057.0,20.56%,4.23%,nc,73.29%,84.0,nc,20.36%,1383.0
1029,Milhaud,21633.0,15.28%,4.69%,2190.62,85.88%,449.0,nc,22.82%,5821.0
1030,Hennebont,22879.0,13.70%,2.85%,2199.12,83.37%,883.0,nc,23.81%,15873.0
1031,Langogne,21123.0,13.94%,2.09%,2019.07,82.17%,257.0,nc,23.58%,2875.0
1032,Masnières,22262.0,18.47%,3.17%,2118.07,83.33%,98.0,nc,18%,2757.0
1033,Penta-di-Casinca,20005.0,16.04%,3.05%,2118.80,85.86%,475.0,nc,21.65%,3366.0
1034,Revel,22239.0,16.30%,3.48%,2253.67,84.42%,966.0,nc,22.75%,9652.0
1035,Beaucamps-le-Vieux,19162.0,21.59%,3.94%,nc,76.89%,59.0,nc,17.40%,1452.0
1036,Cransac,17597.0,18.74%,3.40%,nc,78.42%,84.0,nc,19.67%,1472.0
1037,Dourges,22258.0,16.48%,2.93%,2182.55,84.53%,215.0,nc,20.28%,5927.0
1038,Fleury-les-Aubrais,23737.0,16.80%,3.48%,2310.57,81.40%,1126.0,nc,21.67%,21104.0
1039,Fressenneville,21429.0,17.58%,2.82%,2072.65,83.61%,86.0,nc,18.90%,2168.0
1040,Guîtres,20125.0,19.95%,4.50%,nc,82.35%,123.0,nc,23.98%,1606.0
1041,Orthez,23671.0,15.59%,2.78%,2219.50,80.39%,846.0,nc,20.74%,10466.0
1042,Rupt-sur-Moselle,21368.0,16.88%,2.17%,2097.22,82.40%,196.0,nc,17.70%,3536.0
1043,Plainfaing,18998.0,17.45%,3.03%,nc,77.76%,95.0,nc,20.30%,1627.0
1044,Bagnolet,21651.0,16.12%,5.53%,2524.87,81.30%,5154.0,nc,24.63%,38470.0
1045,Vendin-le-Vieil,21023.0,13.51%,3.33%,2208.32,85.16%,359.0,nc,22.05%,8419.0
1046,Bourg-de-Péage,23101.0,16.63%,3.02%,2274.41,82.67%,947.0,nc,25.45%,9818.0
1047,Jussey,18476.0,17.54%,3.57%,nc,79.04%,114.0,nc,20.95%,1543.0
1048,Nogent,21710.0,12.67%,2.87%,2128.17,81.84%,208.0,nc,21.82%,3567.0
1049,Saint-Macaire,20292.0,17.68%,2.68%,2156.24,80.46%,172.0,nc,23.40%,2035.0
1050,Strasbourg,24625.0,17.76%,5.24%,2416.15,77.52%,27398.0,10129,31.92%,290576.0
1051,Belley,23275.0,16.43%,2.15%,2182.17,81.49%,732.0,nc,21.07%,9207.0
