,CITY,REFERENCE TAX INCOME,UNEMPLOYMENT RATE,RSA BENEFICIARIES,Average net monthly salaries,Percentage of employees on permanent contracts,Number of companies,Average wealth tax per household n/a,CAF beneficiaries,Population
564,Bourganeuf,17910.0,19.74%,3.06%,1965.51,80.64%,197.0,nc,19.55%,2462.0
565,Échirolles,21133.0,17.39%,4.02%,2233.56,80.95%,2452.0,nc,24.03%,36970.0
566,LaMachine,18136.0,15.70%,3.32%,2039.87,81.60%,129.0,nc,19.01%,3231.0
567,Lumbres,20414.0,16.52%,3.80%,2098.01,79.68%,182.0,nc,21.99%,3582.0
568,Mirande,21161.0,15.85%,3.85%,1982.90,80.25%,313.0,nc,22.41%,3445.0
569,Breteuil,19838.0,16.67%,3.27%,2088.14,81.97%,250.0,nc,21.83%,4321.0
570,Decize,19624.0,14.36%,3.69%,2102.84,80.65%,298.0,nc,20.96%,5193.0
571,Remiremont,21905.0,20.48%,3.76%,2176.40,80.05%,779.0,nc,26.42%,7711.0
572,Coutras,21703.0,15.44%,4.13%,2102.18,81.66%,606.0,nc,21.21%,8623.0
573,Épinal,23435.0,19.09%,6.11%,2243.68,75.95%,2703.0,nc,28.72%,31832.0
574,Feignies,20503.0,20.37%,4.69%,2189,82.22%,433.0,nc,21.77%,6763.0
575,LaVoulte-sur-Rhône,19251.0,15.22%,2.78%,2114.50,80.61%,327.0,nc,24.57%,4828.0
576,LeCreusot,20479.0,18.54%,3.42%,2283.25,78.62%,1064.0,nc,25.64%,21057.0
577,Selles-sur-Cher,20381.0,19.23%,3.02%,2018.68,79.06%,243.0,nc,16.86%,4459.0
578,Toulenne,18733.0,16.84%,9.49%,2115.49,82.24%,174.0,nc,26.52%,2779.0
579,L'Hôpital,20211.0,19.29%,4.01%,2069.32,84.11%,252.0,nc,18.72%,5205.0
580,Ostricourt,20003.0,20.03%,4.03%,2141.95,84.56%,211.0,nc,22.92%,5644.0
581,Bourbourg,20451.0,19.18%,3.33%,2216.22,79.26%,272.0,nc,21.80%,7087.0
582,Nemours,21324.0,19.46%,4.31%,2203.78,82.62%,974.0,nc,24.73%,12966.0
583,Forcalquier,21723.0,18.55%,3.36%,2137.06,76.49%,694.0,nc,23.74%,5115.0
584,LesAndelys,20602.0,18.05%,3.39%,2196.07,79.86%,501.0,nc,21.61%,8055.0
585,Lizy-sur-Ourcq,19288.0,21.18%,4.72%,2132.38,84.14%,233.0,nc,25.77%,3529.0
586,Montendre,19159.0,17.32%,3.16%,2099.43,78.75%,283.0,nc,21.03%,3222.0
587,Stenay,19337.0,19.29%,6.03%,2143.63,77.94%,164.0,nc,22.30%,2492.0
588,Wassy,20624.0,17.31%,3.89%,2079.27,78.88%,125.0,nc,21.61%,2780.0
589,Saint-Nicolas,20600.0,18.50%,4.21%,2178.65,81.65%,210.0,nc,24.61%,4659.0
590,Sète,22090.0,21.20%,5.41%,2248.93,82.83%,4701.0,7800,25.33%,44576.0
591,Charmes,20077.0,23.45%,5.64%,2210.25,82.74%,305.0,nc,26.79%,4625.0
592,Cusset,21360.0,17.23%,3.87%,2185.27,81.78%,830.0,nc,22.43%,12677.0
593,Douarnenez,22073.0,18.46%,3.72%,2186.84,80.41%,1018.0,nc,22.16%,13956.0
594,Louhans,21344.0,15.55%,3.21%,2081.97,80.70%,610.0,nc,21.69%,6451.0
